"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"68312099999","2005-01-01T05:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  01034 68312 42/// ///// 1//// 2//// 3//// 4//// 5//// 333 1//// 2//// 9//// 555 9////;","","","","","","","","","",""
"68312099999","2005-01-01T08:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","46","76","","","-0.05","3","35","","","26.52","46.60","59","220","23","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  01064 68312 32989 12209 10246 20079 38981 48549 53017 81081 333 20210 9//// 555 10370 91020;","","","","","","","","","",""
"68312099999","2005-01-01T11:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","48","88","","","-0.00","1","25","","","26.52","46.60","64","000","23","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  01094 68312 42989 10000 10310 20090 38981 48560 51001 81081 333 1//// 2//// 9//// 555 91020;","","","","","","","","","",""
"68312099999","2005-01-01T14:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","46","99","","","+0.05","7","16","","","26.46","46.60","66","070","21","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  01124 68312 32989 10707 10372 20077 38962 48550 57018 80001 333 1//// 20247 9//// 555 91018;","","","","","","","","","",""
"68312099999","2005-01-01T20:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  01184 68312 32/// ///// 1//// 2//// 3//// 4//// 5//// 333 1//// 2//// 9//// 555 9////;","","","","","","","","","",""
"68312099999","2005-01-02T05:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  02034 68312 42/// ///// 1//// 2//// 3//// 4//// 5//// 333 1//// 2//// 9//// 555 9////;","","","","","","","","","",""
"68312099999","2005-01-02T08:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","43","77","","","-0.02","3","30","","","26.51","46.60","58","000","22","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  02064 68312 32989 10000 10248 20062 38976 48544 53008 81080 333 20226 9//// 555 10398 91019;","","","","","","","","","",""
"68312099999","2005-01-02T11:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","42","90","","","-0.00","1","19","","","26.50","46.60","62","000","22","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  02094 68312 42989 10000 10320 20058 38974 48554 51001 81080 333 1//// 2//// 9//// 555 91019;","","","","","","","","","",""
"68312099999","2005-01-02T14:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","43","98","","","+0.05","7","15","","","26.45","46.60","65","000","19","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN098AAXX  02124 68312 32789 10000 10364 20061 38956 48543 57017 81180 333 1//// 20249 9//// 555 91017;","","","","","","","","","",""
"68312099999","2005-01-02T17:00:00","-26.539828","18.111447","1068.62","KEETMANSHOOP, WA","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN092AAXX  02154 68312 42/// ///// 1//// 2//// 3//// 4//// 5//// 333 1//// 2//// 9//// 555 9////;","","","","","","","","","",""
