"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"03827399999","2005-01-02T08:50:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.36","37","41","","","","","87","FEW:02 20","","","7.00","","280","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET058EGHD 020850Z 28010KT 240V330 9999 VCSH FEW020 05/03 Q1028;","","","","","","","","","",""
"03827399999","2005-01-02T09:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.36","37","41","","","","","87","SCT:04 25","","","7.00","","280","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053EGHD 020920Z 28011KT 240V330 9999 SCT025 05/03 Q1028;","","","","","","","","","",""
"03827399999","2005-01-02T10:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","39","43","","","","","87","FEW:02 15 SCT:04 25","","","7.00","","270","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057EGHD 021020Z 27010KT 9999 VCSH FEW015 SCT025 06/04 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T10:50:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","39","43","","","","","87","FEW:02 15 SCT:04 25","","","7.00","","280","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET052EGHD 021050Z 28009KT 9999 FEW015 SCT025 06/04 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T11:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","39","45","","","","","81","FEW:02 20","","","7.00","","280","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045EGHD 021120Z 28010KT 9999 FEW020 07/04 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T12:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","36","46","","","","","66","FEW:02 25","","","7.00","","290","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053EGHD 021220Z 29012KT 250V330 9999 FEW025 08/02 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T12:50:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","36","46","","","","","66","FEW:02 25","","","7.00","","290","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053EGHD 021250Z 29012KT 250V330 9999 FEW025 08/02 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T13:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.39","37","46","","","","","71","FEW:02 25","","","7.00","","290","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053EGHD 021320Z 29010KT 250V330 9999 FEW025 08/03 Q1029;","","","","","","","","","",""
"03827399999","2005-01-02T13:50:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.42","36","46","","","","","66","SCT:04 25","","","7.00","","280","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053EGHD 021350Z 28013KT 240V320 9999 SCT025 08/02 Q1030;","","","","","","","","","",""
"03827399999","2005-01-02T14:20:00","50.422778","-4.105833","145.08","PLYMOUTH, UK","FM-15","4","30.42","37","46","","","","","71","SCT:04 25","","","7.00","","290","23","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET056EGHD 021420Z 29010G20KT 230V310 9999 SCT025 08/03 Q1030;","","","","","","","","","",""
