"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01058099999","2005-02-18T01:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","9","12","","","+0.01","8","90","","29.77","28.33","","11","140","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  18001 01058 16/// /1405 11111 21125 39594 40080 58005 60001 333 4/060 91111;","","","","","","","","","",""
"01058099999","2005-02-18T07:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","11","14","","","+0.05","6","88","","29.67","28.24","12.43","13","170","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN106AAXX  18061 01058 11570 81706 11099 21115 39564 40046 56016 60002 70221 8272/ 333 21112 4/060 70000 91110;","","","","","","","","","",""
"01058099999","2005-02-18T13:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","13","16","","","+0.04","6","87","","29.60","28.19","6.21","15","180","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  18121 01058 11460 81807 11090 21108 39545 40024 56012 60001 70222 8372/ 333 4/060 91111;","","","","","","","","","",""
"01058099999","2005-02-18T19:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","16","18","","","+0.01","8","91","","29.57","28.16","","17","170","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  18181 01058 16/// /1708 11076 21088 39536 40012 58002 60002 333 4/060;","","","","","","","","","",""
"01058099999","2005-02-19T01:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","18","20","","","-0.06","3","92","","29.65","28.24","","19","180","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  19001 01058 16/// /1805 11065 21076 39564 40039 53020 60001 333 4/060 91112;","","","","","","","","","",""
"01058099999","2005-02-19T07:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","15","17","","","-0.02","0","92","","29.70","28.28","","16","180","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  19061 01058 16/// /1805 11081 21092 39577 40056 50008 60002 333 21082 4/060 70000 91109;","","","","","","","","","",""
"01058099999","2005-02-19T13:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","13","17","","","-0.02","3","87","","29.77","28.35","12.43","16","160","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  19121 01058 11670 81604 11085 21103 39600 40080 53007 60001 70222 88020 333 4/061;","","","","","","","","","",""
"01058099999","2005-02-19T19:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","14","16","","","-0.04","2","92","","29.85","28.42","18.64","15","160","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  19181 01058 11780 81603 11091 21102 39624 40107 52014 60002 70222 8172/ 333 11078 4/061 91108;","","","","","","","","","",""
"01058099999","2005-02-20T01:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","7","9","","","-0.05","2","93","","29.96","28.51","","9","140","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  20001 01058 16/// /1404 11130 21139 39653 40145 52016 60001 333 4/061 91107;","","","","","","","","","",""
"01058099999","2005-02-20T13:00:00","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","FM-12","4","","7","10","","","-0.06","1","87","","30.19","28.73","","9","130","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  20121 01058 16/// /1302 11123 21140 39730 40224 51019 69921 333 4/060 91104;","","","","","","","","","",""
