"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"67442099999","2005-01-01T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","72","74","","","","9","95","BKN:06 9","","","5.59","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  01064 67599 12359 80000 10231 20223 48538 60634 8667/ 333 10/// 20/// 58030 86709 88459;","","","","","","","","","",""
"67442099999","2005-01-03T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","72","78","","","","9","83","SCT:03 12 BKN:05 98","","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  03064 67599 32480 70000 10255 20224 48529 83138 333 10/// 20/// 59021 83812 85360 86280;","","","","","","","","","",""
"67442099999","2005-01-05T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","","75","","","","9","","SCT:04 15","","","18.64","","060","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN094AAXX  05064 67599 12480 70602 10240 2//// 48547 69954 84530 333 10/// 20/// 58018 84615 87360;","","","","","","","","","",""
"67442099999","2005-01-05T14:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","","85","","","","","","CLR:00","","","2.49","","100","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  05124 67599 31940 01012 10294 1GOOY CCA GPTQWPP SMSG0 UQQLARIUKUI;","","","","","","","","","",""
"67442099999","2005-01-07T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","69","71","","||RA","","9","94","SCT:04 8","","","4.97","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  07064 67599 11358 80000 10215 20205 48540 60224 76166 8467/ 333 10/// 20/// 58000 84708 88459;","","","","","","","","","",""
"67442099999","2005-01-07T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-15","4","30.09","72","72","","||RA","","","100","SCT:04 8 OVC:08 89","","","4.97","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET056FLMF 070600Z 00000KT 8000 -RA SCT008 OVC090 22/22 Q1019;","","","","","","","","","",""
"67442099999","2005-01-09T14:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-15","4","29.91","64","88","","","","","46","FEW:02 30 FEW:02 98 BKN:07 295","","","","","360","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET060FLMF 091200Z 36004KT 9/9 FEW030CB FEW100 BKN300 31/18 Q1013;","","","","","","","","","",""
"67442099999","2005-01-14T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","62","69","","","","9","79","BKN:05 7","","","18.64","","060","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  14064 67599 11380 80602 10203 20166 48504 60384 72162 8577/ 333 10/// 20/// 58001 85707 87460;","","","","","","","","","",""
"67442099999","2005-01-17T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","72","77","","","","9","85","FEW:02 20 FEW:01 98 BKN:06 295","","","18.64","","000","21","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN116AAXX  17064 67599 12580 70000 10250 20223 48546 69904 82138 333 10/// 20/// 58015 82820 81360 86280 555 00/// 91018;","","","","","","","","","",""
"67442099999","2005-01-19T08:00:00","-13.267","31.933","573.0","MFUWE, ZA","FM-12","4","","","60","","","","","","BKN:07 98","","","18.64","","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  19064 67599 11/80 70000 10154 20227 48557 69904 72162 819// 333 87360;","","","","","","","","","",""
