"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"94213099999","2005-01-01T06:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","72","78","","||DZ","","","82","","29.69","29.02","9.94","74","090","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  31224 94213 41466 80902 10254 20221 39828 40054 75066 88900;","","","","","","","","","",""
"94213099999","2005-01-01T09:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","75","81","","","","","81","","29.67","29.00","15.53","77","180","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  01014 94213 11475 71802 10275 20239 39820 40046 60384 70122 87800 333 70380;","","","","","","","","","",""
"94213099999","2005-01-01T15:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","73","91","","","","","55","","29.52","28.86","17.40","78","340","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  01074 94213 11678 83402 10330 20229 39772 49996 60001 70322 88900;","","","","","","","","","",""
"94213099999","2005-01-01T18:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","73","80","","","","","80","","29.63","28.96","8.70","75","050","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01104 94213 41464 80505 10265 20228 39808 40033 70222 88900;","","","","","","","","","",""
"94213099999","2005-01-02T06:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","77","78","","","","","96","","29.59","28.93","12.43","77","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  01224 94213 41270 80000 10256 20249 39797 40022 71592 88200;","","","","","","","","","",""
"94213099999","2005-01-02T09:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","76","79","","||RA","","","91","","29.64","28.98","3.11","77","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  02014 94213 11250 80000 10260 20244 39813 40038 60154 76162 88600 333 70150;","","","","","","","","","",""
"94213099999","2005-01-02T15:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","76","87","","","","","70","","29.54","28.87","18.64","79","230","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN072AAXX  02074 94213 11280 82305 10305 20245 39778 40003 60021 70166 88300;","","","","","","","","","",""
"94213099999","2005-01-02T18:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","70","84","","","","","63","","29.58","28.92","16.78","74","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  02104 94213 41577 80000 10290 20212 39793 40018 70222 84590;","","","","","","","","","",""
"94213099999","2005-01-03T06:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","73","77","","","","","88","","29.62","28.95","12.43","74","000","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN066AAXX  02224 94213 41370 70000 10250 20229 39804 40029 70152 86570;","","","","","","","","","",""
"94213099999","2005-01-03T09:00:00","-17.0166666","128.2166666","205.0","WARMUN, AS","FM-12","4","","75","80","","","","","84","","29.66","29.00","12.43","76","310","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  03014 94213 11470 83101 10268 20239 39819 40045 60034 70322 85590 333 70030;","","","","","","","","","",""
